Country,Continent,Risk Score,Advisory Message,Last Updated,Source
Laos,AS,3.0,Laos has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Laos.,2024-08-13 08:21:03,https://www.travel-advisory.info/laos
Lebanon,AS,4.2,Lebanon has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Lebanon.,2024-08-13 08:21:03,https://www.travel-advisory.info/lebanon
Saint Lucia,NA,2.5,Saint Lucia has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Lucia.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-lucia
Liechtenstein,EU,2.3,Liechtenstein has a current risk level of 2.3 (out of 5). We advise: Travelling Liechtenstein is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/liechtenstein
Sri Lanka,AS,3.1,Sri Lanka has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Sri Lanka.,2024-08-13 08:21:03,https://www.travel-advisory.info/sri-lanka
Liberia,AF,3.5,Liberia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Liberia.,2024-08-13 08:21:03,https://www.travel-advisory.info/liberia
Lesotho,AF,3.0,Lesotho has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Lesotho.,2024-08-13 08:21:03,https://www.travel-advisory.info/lesotho
Lithuania,EU,2.6,Lithuania has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Lithuania.,2024-08-13 08:21:03,https://www.travel-advisory.info/lithuania
Luxembourg,EU,2.3,Luxembourg has a current risk level of 2.3 (out of 5). We advise: Travelling Luxembourg is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/luxembourg
Latvia,EU,2.6,Latvia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Latvia.,2024-08-13 08:21:03,https://www.travel-advisory.info/latvia
Libya,AF,5.0,Libya has a current risk level of 5 (out of 5). We advise: It is not safe to travel Libya.,2024-08-13 08:21:03,https://www.travel-advisory.info/libya
Morocco,AF,3.0,Morocco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Morocco.,2024-08-13 08:21:03,https://www.travel-advisory.info/morocco
Monaco,EU,3.0,Monaco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Monaco.,2024-08-13 08:21:03,https://www.travel-advisory.info/monaco
Moldova,EU,3.0,Moldova has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Moldova.,2024-08-13 08:21:03,https://www.travel-advisory.info/moldova
Montenegro,EU,3.2,Montenegro has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Montenegro.,2024-08-13 08:21:03,https://www.travel-advisory.info/montenegro
Saint Martin,NA,0.0,Saint Martin has a current risk level of 0 (out of 5). We advise: Travelling Saint Martin is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-martin
Madagascar,AF,3.0,Madagascar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Madagascar.,2024-08-13 08:21:03,https://www.travel-advisory.info/madagascar
Marshall Islands,OC,3.0,Marshall Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Marshall Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/marshall-islands
Macedonia,EU,2.3,Macedonia has a current risk level of 2.3 (out of 5). We advise: Travelling Macedonia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/macedonia
Mali,AF,4.6,Mali has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Mali.,2024-08-13 08:21:03,https://www.travel-advisory.info/mali
Myanmar,AS,4.6,Myanmar has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Myanmar.,2024-08-13 08:21:03,https://www.travel-advisory.info/myanmar
Mongolia,AS,2.8,Mongolia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Mongolia.,2024-08-13 08:21:03,https://www.travel-advisory.info/mongolia
Macao,AS,3.0,Macao has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Macao.,2024-08-13 08:21:03,https://www.travel-advisory.info/macao
Northern Mariana Islands,OC,0.0,Northern Mariana Islands has a current risk level of 0 (out of 5). We advise: Travelling Northern Mariana Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/northern-mariana-islands
Martinique,NA,4.0,Martinique has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Martinique.,2024-08-13 08:21:03,https://www.travel-advisory.info/martinique
Mauritania,AF,3.8,Mauritania has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Mauritania.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritania
Montserrat,NA,2.5,Montserrat has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Montserrat.,2024-08-13 08:21:03,https://www.travel-advisory.info/montserrat
Malta,EU,3.0,Malta has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malta.,2024-08-13 08:21:03,https://www.travel-advisory.info/malta
Mauritius,AF,3.0,Mauritius has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mauritius.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritius
Maldives,AS,3.4,Maldives has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Maldives.,2024-08-13 08:21:03,https://www.travel-advisory.info/maldives
Malawi,AF,3.0,Malawi has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malawi.,2024-08-13 08:21:03,https://www.travel-advisory.info/malawi
Mexico,NA,3.6,Mexico has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Mexico.,2024-08-13 08:21:03,https://www.travel-advisory.info/mexico
Malaysia,AS,2.8,Malaysia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Malaysia.,2024-08-13 08:21:03,https://www.travel-advisory.info/malaysia
Mozambique,AF,3.0,Mozambique has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mozambique.,2024-08-13 08:21:03,https://www.travel-advisory.info/mozambique
Namibia,AF,3.0,Namibia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Namibia.,2024-08-13 08:21:03,https://www.travel-advisory.info/namibia
New Caledonia,OC,4.0,New Caledonia has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to New Caledonia.,2024-08-13 08:21:03,https://www.travel-advisory.info/new-caledonia
Niger,AF,4.7,Niger has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Niger.,2024-08-13 08:21:03,https://www.travel-advisory.info/niger
Norfolk Island,OC,0.0,Norfolk Island has a current risk level of 0 (out of 5). We advise: Travelling Norfolk Island is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/norfolk-island
Nigeria,AF,3.8,Nigeria has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Nigeria.,2024-08-13 08:21:03,https://www.travel-advisory.info/nigeria
Nicaragua,NA,3.6,Nicaragua has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Nicaragua.,2024-08-13 08:21:03,https://www.travel-advisory.info/nicaragua
Netherlands,EU,3.3,Netherlands has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Netherlands.,2024-08-13 08:21:03,https://www.travel-advisory.info/netherlands
Norway,EU,2.8,Norway has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Norway.,2024-08-13 08:21:03,https://www.travel-advisory.info/norway
Nepal,AS,3.3,Nepal has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Nepal.,2024-08-13 08:21:03,https://www.travel-advisory.info/nepal
Niue,OC,0.0,Niue has a current risk level of 0 (out of 5). We advise: Travelling Niue is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/niue
New Zealand,OC,3.0,New Zealand has a current risk level of 3 (out of 5). We advise: Use some caution when travelling New Zealand.,2024-08-13 08:21:03,https://www.travel-advisory.info/new-zealand
Oman,AS,3.0,Oman has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Oman.,2024-08-13 08:21:03,https://www.travel-advisory.info/oman
Panama,NA,3.0,Panama has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Panama.,2024-08-13 08:21:03,https://www.travel-advisory.info/panama
Peru,SA,3.3,Peru has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Peru.,2024-08-13 08:21:03,https://www.travel-advisory.info/peru
French Polynesia,OC,3.0,French Polynesia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling French Polynesia.,2024-08-13 08:21:03,https://www.travel-advisory.info/french-polynesia
Papua New Guinea,OC,3.8,Papua New Guinea has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Papua New Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/papua-new-guinea
Philippines,AS,3.1,Philippines has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Philippines.,2024-08-13 08:21:03,https://www.travel-advisory.info/philippines
Pakistan,AS,3.8,Pakistan has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Pakistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/pakistan
Poland,EU,2.8,Poland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Poland.,2024-08-13 08:21:03,https://www.travel-advisory.info/poland
Saint Pierre and Miquelon,NA,0.0,Saint Pierre and Miquelon has a current risk level of 0 (out of 5). We advise: Travelling Saint Pierre and Miquelon is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-pierre-and-miquelon
Pitcairn,OC,0.0,Pitcairn has a current risk level of 0 (out of 5). We advise: Travelling Pitcairn is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/pitcairn
Puerto Rico,NA,4.0,Puerto Rico has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Puerto Rico.,2024-08-13 08:21:03,https://www.travel-advisory.info/puerto-rico
Palestinian Territory,AS,4.0,Palestinian Territory has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Palestinian Territory.,2024-08-13 08:21:03,https://www.travel-advisory.info/palestinian-territory
Portugal,EU,2.8,Portugal has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Portugal.,2024-08-13 08:21:03,https://www.travel-advisory.info/portugal
Palau,OC,3.0,Palau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Palau.,2024-08-13 08:21:03,https://www.travel-advisory.info/palau
Paraguay,SA,3.0,Paraguay has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Paraguay.,2024-08-13 08:21:03,https://www.travel-advisory.info/paraguay
Qatar,AS,3.0,Qatar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Qatar.,2024-08-13 08:21:03,https://www.travel-advisory.info/qatar
Reunion,AF,4.0,Reunion has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Reunion.,2024-08-13 08:21:03,https://www.travel-advisory.info/reunion
Romania,EU,3.2,Romania has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Romania.,2024-08-13 08:21:03,https://www.travel-advisory.info/romania
Serbia,EU,3.4,Serbia has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Serbia.,2024-08-13 08:21:03,https://www.travel-advisory.info/serbia
Russia,EU,4.4,Russia has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to Russia.,2024-08-13 08:21:03,https://www.travel-advisory.info/russia
Rwanda,AF,3.0,Rwanda has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Rwanda.,2024-08-13 08:21:03,https://www.travel-advisory.info/rwanda
Saudi Arabia,AS,3.2,Saudi Arabia has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Saudi Arabia.,2024-08-13 08:21:03,https://www.travel-advisory.info/saudi-arabia
Solomon Islands,OC,3.3,Solomon Islands has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Solomon Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/solomon-islands
Seychelles,AF,3.0,Seychelles has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Seychelles.,2024-08-13 08:21:03,https://www.travel-advisory.info/seychelles
Sudan,AF,4.7,Sudan has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Sudan.,2024-08-13 08:21:03,https://www.travel-advisory.info/sudan
Sweden,EU,3.5,Sweden has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Sweden.,2024-08-13 08:21:03,https://www.travel-advisory.info/sweden
Singapore,AS,2.8,Singapore has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Singapore.,2024-08-13 08:21:03,https://www.travel-advisory.info/singapore
Saint Helena,AF,0.0,Saint Helena has a current risk level of 0 (out of 5). We advise: Travelling Saint Helena is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-helena
Slovenia,EU,3.0,Slovenia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Slovenia.,2024-08-13 08:21:03,https://www.travel-advisory.info/slovenia
Svalbard and Jan Mayen,EU,0.0,Svalbard and Jan Mayen has a current risk level of 0 (out of 5). We advise: Travelling Svalbard and Jan Mayen is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/svalbard-and-jan-mayen
Slovakia,EU,3.0,Slovakia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Slovakia.,2024-08-13 08:21:03,https://www.travel-advisory.info/slovakia
Sierra Leone,AF,3.5,Sierra Leone has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Sierra Leone.,2024-08-13 08:21:03,https://www.travel-advisory.info/sierra-leone
San Marino,EU,5.0,San Marino has a current risk level of 5 (out of 5). We advise: It is not safe to travel San Marino.,2024-08-13 08:21:03,https://www.travel-advisory.info/san-marino
Senegal,AF,3.6,Senegal has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Senegal.,2024-08-13 08:21:03,https://www.travel-advisory.info/senegal
Somalia,AF,5.0,Somalia has a current risk level of 5 (out of 5). We advise: It is not safe to travel Somalia.,2024-08-13 08:21:03,https://www.travel-advisory.info/somalia
Suriname,SA,2.5,Suriname has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Suriname.,2024-08-13 08:21:03,https://www.travel-advisory.info/suriname
South Sudan,AF,5.0,South Sudan has a current risk level of 5 (out of 5). We advise: It is not safe to travel South Sudan.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-sudan
Sao Tome and Principe,AF,2.5,Sao Tome and Principe has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Sao Tome and Principe.,2024-08-13 08:21:03,https://www.travel-advisory.info/sao-tome-and-principe
El Salvador,NA,3.3,El Salvador has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling El Salvador.,2024-08-13 08:21:03,https://www.travel-advisory.info/el-salvador
Syria,AS,5.0,Syria has a current risk level of 5 (out of 5). We advise: It is not safe to travel Syria.,2024-08-13 08:21:03,https://www.travel-advisory.info/syria
Swaziland,AF,2.7,Swaziland has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Swaziland.,2024-08-13 08:21:03,https://www.travel-advisory.info/swaziland
Turks and Caicos Islands,NA,3.0,Turks and Caicos Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Turks and Caicos Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/turks-and-caicos-islands
Chad,AF,3.7,Chad has a current risk level of 3.7 (out of 5). We advise: Please reconsider your need to travel to Chad.,2024-08-13 08:21:03,https://www.travel-advisory.info/chad
Togo,AF,2.5,Togo has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Togo.,2024-08-13 08:21:03,https://www.travel-advisory.info/togo
Thailand,AS,2.7,Thailand has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Thailand.,2024-08-13 08:21:03,https://www.travel-advisory.info/thailand
Tajikistan,AS,3.0,Tajikistan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tajikistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/tajikistan
East Timor,OC,3.2,East Timor has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling East Timor.,2024-08-13 08:21:03,https://www.travel-advisory.info/east-timor
Turkmenistan,AS,2.6,Turkmenistan has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Turkmenistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/turkmenistan
Tunisia,AF,3.0,Tunisia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tunisia.,2024-08-13 08:21:03,https://www.travel-advisory.info/tunisia
Tonga,OC,2.5,Tonga has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Tonga.,2024-08-13 08:21:03,https://www.travel-advisory.info/tonga
Turkey,AS,3.5,Turkey has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Turkey.,2024-08-13 08:21:03,https://www.travel-advisory.info/turkey
Trinidad and Tobago,NA,3.8,Trinidad and Tobago has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Trinidad and Tobago.,2024-08-13 08:21:03,https://www.travel-advisory.info/trinidad-and-tobago
Tuvalu,OC,1.0,Tuvalu has a current risk level of 1 (out of 5). We advise: Travelling Tuvalu is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/tuvalu
Taiwan,AS,2.7,Taiwan has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Taiwan.,2024-08-13 08:21:03,https://www.travel-advisory.info/taiwan
Tanzania,AF,3.0,Tanzania has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tanzania.,2024-08-13 08:21:03,https://www.travel-advisory.info/tanzania
Ukraine,EU,4.7,Ukraine has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Ukraine.,2024-08-13 08:21:03,https://www.travel-advisory.info/ukraine
Uganda,AF,3.5,Uganda has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Uganda.,2024-08-13 08:21:03,https://www.travel-advisory.info/uganda
United States,NA,2.7,United States has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling United States.,2024-08-13 08:21:03,https://www.travel-advisory.info/united-states
Uruguay,SA,3.3,Uruguay has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Uruguay.,2024-08-13 08:21:03,https://www.travel-advisory.info/uruguay
Uzbekistan,AS,3.0,Uzbekistan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Uzbekistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/uzbekistan
Vatican,EU,5.0,Vatican has a current risk level of 5 (out of 5). We advise: It is not safe to travel Vatican.,2024-08-13 08:21:03,https://www.travel-advisory.info/vatican
Saint Vincent and the Grenadines,NA,2.5,Saint Vincent and the Grenadines has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Vincent and the Grenadines.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-vincent-and-the-grenadines
Venezuela,SA,4.1,Venezuela has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Venezuela.,2024-08-13 08:21:03,https://www.travel-advisory.info/venezuela
British Virgin Islands,NA,2.5,British Virgin Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling British Virgin Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/british-virgin-islands
U.S. Virgin Islands,NA,4.0,U.S. Virgin Islands has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to U.S. Virgin Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/us-virgin-islands
Vietnam,AS,2.7,Vietnam has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Vietnam.,2024-08-13 08:21:03,https://www.travel-advisory.info/vietnam
Vanuatu,OC,3.0,Vanuatu has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Vanuatu.,2024-08-13 08:21:03,https://www.travel-advisory.info/vanuatu
Wallis and Futuna,OC,0.0,Wallis and Futuna has a current risk level of 0 (out of 5). We advise: Travelling Wallis and Futuna is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/wallis-and-futuna
Samoa,OC,3.0,Samoa has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Samoa.,2024-08-13 08:21:03,https://www.travel-advisory.info/samoa
Kosovo,EU,3.6,Kosovo has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Kosovo.,2024-08-13 08:21:03,https://www.travel-advisory.info/kosovo
Yemen,AS,5.0,Yemen has a current risk level of 5 (out of 5). We advise: It is not safe to travel Yemen.,2024-08-13 08:21:03,https://www.travel-advisory.info/yemen
Mayotte,AF,3.5,Mayotte has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Mayotte.,2024-08-13 08:21:03,https://www.travel-advisory.info/mayotte
South Africa,AF,3.4,South Africa has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling South Africa.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-africa
Zambia,AF,3.0,Zambia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Zambia.,2024-08-13 08:21:03,https://www.travel-advisory.info/zambia
Zimbabwe,AF,3.2,Zimbabwe has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Zimbabwe.,2024-08-13 08:21:03,https://www.travel-advisory.info/zimbabwe
