Country,Continent,Risk Score,Advisory Message,Last Updated,Source,Latitude,Longitude,Recommendation,Details
Greenland,,0.0,Greenland has a current risk level of 0 (out of 5). We advise: Travelling Greenland is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/greenland,35.9948477,-94.1796014,Safe to Travel,Greenland has a current risk level of 0 (out of 5). We advise: Travelling Greenland is (relatively) safe.
Gambia,AF,2.8,Gambia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Gambia.,2024-08-13 08:21:03,https://www.travel-advisory.info/gambia,13.470062,-15.4900464,Travel with Caution,Gambia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Gambia.
Guinea,AF,4.0,Guinea has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/guinea,10.7226226,-10.7083587,Not Recommended for Travel,Guinea has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guinea.
Guadeloupe,,4.0,Guadeloupe has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guadeloupe.,2024-08-13 08:21:03,https://www.travel-advisory.info/guadeloupe,16.2528827,-61.5686855,Not Recommended for Travel,Guadeloupe has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guadeloupe.
Equatorial Guinea,AF,3.0,Equatorial Guinea has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Equatorial Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/equatorial-guinea,1.613172,10.5170357,Travel with Caution,Equatorial Guinea has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Equatorial Guinea.
Greece,EU,2.8,Greece has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Greece.,2024-08-13 08:21:03,https://www.travel-advisory.info/greece,38.9953683,21.9877132,Travel with Caution - Preferred Continent,Greece has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Greece.
South Georgia and the South Sandwich Islands,AN,0.0,South Georgia and the South Sandwich Islands has a current risk level of 0 (out of 5). We advise: Travelling South Georgia and the South Sandwich Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-georgia-and-the-south-sandwich-islands,-54.8432857,-35.8090698,Safe to Travel,South Georgia and the South Sandwich Islands has a current risk level of 0 (out of 5). We advise: Travelling South Georgia and the South Sandwich Islands is (relatively) safe.
Guatemala,,3.4,Guatemala has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Guatemala.,2024-08-13 08:21:03,https://www.travel-advisory.info/guatemala,15.5855545,-90.345759,Travel with Caution,Guatemala has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Guatemala.
Guam,OC,4.0,Guam has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guam.,2024-08-13 08:21:03,https://www.travel-advisory.info/guam,13.4499943,144.7651677,Not Recommended for Travel,Guam has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guam.
Guinea-Bissau,AF,3.0,Guinea-Bissau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Guinea-Bissau.,2024-08-13 08:21:03,https://www.travel-advisory.info/guinea-bissau,11.815215,-15.2351044,Travel with Caution,Guinea-Bissau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Guinea-Bissau.
Guyana,SA,4.0,Guyana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guyana.,2024-08-13 08:21:03,https://www.travel-advisory.info/guyana,4.8417097,-58.6416891,Not Recommended for Travel,Guyana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guyana.
Hong Kong,AS,3.6,Hong Kong has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Hong Kong.,2024-08-13 08:21:03,https://www.travel-advisory.info/hong-kong,22.2793278,114.1628131,Travel with Caution,Hong Kong has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Hong Kong.
Honduras,,3.4,Honduras has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Honduras.,2024-08-13 08:21:03,https://www.travel-advisory.info/honduras,15.2572432,-86.0755145,Travel with Caution,Honduras has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Honduras.
Croatia,EU,2.8,Croatia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Croatia.,2024-08-13 08:21:03,https://www.travel-advisory.info/croatia,45.3658443,15.6575209,Travel with Caution - Preferred Continent,Croatia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Croatia.
Haiti,,4.8,Haiti has a current risk level of 4.8 (out of 5). We advise: It is not safe to travel Haiti.,2024-08-13 08:21:03,https://www.travel-advisory.info/haiti,19.1399952,-72.3570972,Not Recommended for Travel,Haiti has a current risk level of 4.8 (out of 5). We advise: It is not safe to travel Haiti.
Hungary,EU,2.8,Hungary has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Hungary.,2024-08-13 08:21:03,https://www.travel-advisory.info/hungary,47.1817585,19.5060937,Travel with Caution - Preferred Continent,Hungary has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Hungary.
Indonesia,AS,3.4,Indonesia has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Indonesia.,2024-08-13 08:21:03,https://www.travel-advisory.info/indonesia,-2.4833826,117.8902853,Travel with Caution,Indonesia has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Indonesia.
Ireland,EU,2.5,Ireland has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Ireland.,2024-08-13 08:21:03,https://www.travel-advisory.info/ireland,52.865196,-7.9794599,Travel with Caution - Preferred Continent,Ireland has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Ireland.
Israel,AS,4.2,Israel has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Israel.,2024-08-13 08:21:03,https://www.travel-advisory.info/israel,30.8124247,34.8594762,Not Recommended for Travel,Israel has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Israel.
Isle of Man,EU,0.0,Isle of Man has a current risk level of 0 (out of 5). We advise: Travelling Isle of Man is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/isle-of-man,54.1936805,-4.5591148,Safe to Travel - Preferred Continent,Isle of Man has a current risk level of 0 (out of 5). We advise: Travelling Isle of Man is (relatively) safe.
India,AS,3.4,India has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling India.,2024-08-13 08:21:03,https://www.travel-advisory.info/india,22.3511148,78.6677428,Travel with Caution,India has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling India.
Iraq,AS,4.8,Iraq has a current risk level of 4.8 (out of 5). We advise: It is not safe to travel Iraq.,2024-08-13 08:21:03,https://www.travel-advisory.info/iraq,33.0955793,44.1749775,Not Recommended for Travel,Iraq has a current risk level of 4.8 (out of 5). We advise: It is not safe to travel Iraq.
Iran,AS,4.5,Iran has a current risk level of 4.5 (out of 5). We advise: It is not safe to travel Iran.,2024-08-13 08:21:03,https://www.travel-advisory.info/iran,32.6475314,54.5643516,Not Recommended for Travel,Iran has a current risk level of 4.5 (out of 5). We advise: It is not safe to travel Iran.
Iceland,EU,2.8,Iceland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Iceland.,2024-08-13 08:21:03,https://www.travel-advisory.info/iceland,64.9841821,-18.1059013,Travel with Caution - Preferred Continent,Iceland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Iceland.
Italy,EU,3.0,Italy has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Italy.,2024-08-13 08:21:03,https://www.travel-advisory.info/italy,42.6384261,12.674297,Travel with Caution - Preferred Continent,Italy has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Italy.
Jersey,EU,0.0,Jersey has a current risk level of 0 (out of 5). We advise: Travelling Jersey is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/jersey,49.2214561,-2.1358386,Safe to Travel - Preferred Continent,Jersey has a current risk level of 0 (out of 5). We advise: Travelling Jersey is (relatively) safe.
Jamaica,,3.8,Jamaica has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Jamaica.,2024-08-13 08:21:03,https://www.travel-advisory.info/jamaica,18.1850507,-77.3947693,Travel with Caution,Jamaica has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Jamaica.
Jordan,AS,3.2,Jordan has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Jordan.,2024-08-13 08:21:03,https://www.travel-advisory.info/jordan,10.6611675,122.5909592,Travel with Caution,Jordan has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Jordan.
Japan,AS,2.8,Japan has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Japan.,2024-08-13 08:21:03,https://www.travel-advisory.info/japan,36.5748441,139.2394179,Travel with Caution,Japan has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Japan.
Kenya,AF,3.1,Kenya has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Kenya.,2024-08-13 08:21:03,https://www.travel-advisory.info/kenya,1.4419683,38.4313975,Travel with Caution,Kenya has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Kenya.
Kyrgyzstan,AS,2.3,Kyrgyzstan has a current risk level of 2.3 (out of 5). We advise: Travelling Kyrgyzstan is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/kyrgyzstan,41.5089324,74.724091,Travel with Caution,Kyrgyzstan has a current risk level of 2.3 (out of 5). We advise: Travelling Kyrgyzstan is (relatively) safe.
Cambodia,AS,3.0,Cambodia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cambodia.,2024-08-13 08:21:03,https://www.travel-advisory.info/cambodia,12.5433216,104.8144914,Travel with Caution,Cambodia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cambodia.
Kiribati,OC,1.0,Kiribati has a current risk level of 1 (out of 5). We advise: Travelling Kiribati is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/kiribati,0.3448612,173.6641773,Safe to Travel,Kiribati has a current risk level of 1 (out of 5). We advise: Travelling Kiribati is (relatively) safe.
Comoros,AF,3.0,Comoros has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Comoros.,2024-08-13 08:21:03,https://www.travel-advisory.info/comoros,-12.2045176,44.2832964,Travel with Caution,Comoros has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Comoros.
Saint Kitts and Nevis,,2.5,Saint Kitts and Nevis has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Kitts and Nevis.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-kitts-and-nevis,17.250512,-62.6725973,Travel with Caution,Saint Kitts and Nevis has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Kitts and Nevis.
North Korea,AS,4.4,North Korea has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to North Korea.,2024-08-13 08:21:03,https://www.travel-advisory.info/north-korea,40.3736611,127.0870417,Not Recommended for Travel,North Korea has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to North Korea.
South Korea,AS,2.3,South Korea has a current risk level of 2.3 (out of 5). We advise: Travelling South Korea is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-korea,36.638392,127.6961188,Travel with Caution,South Korea has a current risk level of 2.3 (out of 5). We advise: Travelling South Korea is (relatively) safe.
Kuwait,AS,3.2,Kuwait has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Kuwait.,2024-08-13 08:21:03,https://www.travel-advisory.info/kuwait,29.3796532,47.9734174,Travel with Caution,Kuwait has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Kuwait.
Cayman Islands,,2.5,Cayman Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cayman Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/cayman-islands,19.703182249999998,-79.9174627243246,Travel with Caution,Cayman Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cayman Islands.
Kazakhstan,AS,3.0,Kazakhstan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Kazakhstan.,2024-08-13 08:21:03,https://www.travel-advisory.info/kazakhstan,48.1012954,66.7780818,Travel with Caution,Kazakhstan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Kazakhstan.
Laos,AS,3.0,Laos has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Laos.,2024-08-13 08:21:03,https://www.travel-advisory.info/laos,20.0171109,103.378253,Travel with Caution,Laos has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Laos.
Lebanon,AS,4.2,Lebanon has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Lebanon.,2024-08-13 08:21:03,https://www.travel-advisory.info/lebanon,40.375713,-76.4626118,Not Recommended for Travel,Lebanon has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Lebanon.
Saint Lucia,,2.5,Saint Lucia has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Lucia.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-lucia,13.8250489,-60.975036,Travel with Caution,Saint Lucia has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Lucia.
Liechtenstein,EU,2.3,Liechtenstein has a current risk level of 2.3 (out of 5). We advise: Travelling Liechtenstein is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/liechtenstein,47.1416307,9.5531527,Travel with Caution - Preferred Continent,Liechtenstein has a current risk level of 2.3 (out of 5). We advise: Travelling Liechtenstein is (relatively) safe.
Sri Lanka,AS,3.1,Sri Lanka has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Sri Lanka.,2024-08-13 08:21:03,https://www.travel-advisory.info/sri-lanka,7.5554942,80.7137847,Travel with Caution,Sri Lanka has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Sri Lanka.
Liberia,AF,3.5,Liberia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Liberia.,2024-08-13 08:21:03,https://www.travel-advisory.info/liberia,5.7499721,-9.3658524,Travel with Caution,Liberia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Liberia.
Lesotho,AF,3.0,Lesotho has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Lesotho.,2024-08-13 08:21:03,https://www.travel-advisory.info/lesotho,-29.6039267,28.3350193,Travel with Caution,Lesotho has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Lesotho.
Lithuania,EU,2.6,Lithuania has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Lithuania.,2024-08-13 08:21:03,https://www.travel-advisory.info/lithuania,55.3500003,23.7499997,Travel with Caution - Preferred Continent,Lithuania has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Lithuania.
Luxembourg,EU,2.3,Luxembourg has a current risk level of 2.3 (out of 5). We advise: Travelling Luxembourg is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/luxembourg,49.6112768,6.129799,Travel with Caution - Preferred Continent,Luxembourg has a current risk level of 2.3 (out of 5). We advise: Travelling Luxembourg is (relatively) safe.
Latvia,EU,2.6,Latvia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Latvia.,2024-08-13 08:21:03,https://www.travel-advisory.info/latvia,56.8406494,24.7537645,Travel with Caution - Preferred Continent,Latvia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Latvia.
Libya,AF,5.0,Libya has a current risk level of 5 (out of 5). We advise: It is not safe to travel Libya.,2024-08-13 08:21:03,https://www.travel-advisory.info/libya,26.8234472,18.1236723,Not Recommended for Travel,Libya has a current risk level of 5 (out of 5). We advise: It is not safe to travel Libya.
Morocco,AF,3.0,Morocco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Morocco.,2024-08-13 08:21:03,https://www.travel-advisory.info/morocco,28.3347722,-10.371337908392647,Travel with Caution,Morocco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Morocco.
Monaco,EU,3.0,Monaco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Monaco.,2024-08-13 08:21:03,https://www.travel-advisory.info/monaco,43.7323492,7.4276832,Travel with Caution - Preferred Continent,Monaco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Monaco.
Moldova,EU,3.0,Moldova has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Moldova.,2024-08-13 08:21:03,https://www.travel-advisory.info/moldova,47.2879608,28.5670941,Travel with Caution - Preferred Continent,Moldova has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Moldova.
Montenegro,EU,3.2,Montenegro has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Montenegro.,2024-08-13 08:21:03,https://www.travel-advisory.info/montenegro,-29.6826112,-51.4687455,Travel with Caution - Preferred Continent,Montenegro has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Montenegro.
Saint Martin,,0.0,Saint Martin has a current risk level of 0 (out of 5). We advise: Travelling Saint Martin is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-martin,18.0814066,-63.0467131,Safe to Travel,Saint Martin has a current risk level of 0 (out of 5). We advise: Travelling Saint Martin is (relatively) safe.
Madagascar,AF,3.0,Madagascar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Madagascar.,2024-08-13 08:21:03,https://www.travel-advisory.info/madagascar,-18.9249604,46.4416422,Travel with Caution,Madagascar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Madagascar.
Marshall Islands,OC,3.0,Marshall Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Marshall Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/marshall-islands,8.230816999999998,167.7953223704529,Travel with Caution,Marshall Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Marshall Islands.
Macedonia,EU,2.3,Macedonia has a current risk level of 2.3 (out of 5). We advise: Travelling Macedonia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/macedonia,41.1927739,-95.4256198,Travel with Caution - Preferred Continent,Macedonia has a current risk level of 2.3 (out of 5). We advise: Travelling Macedonia is (relatively) safe.
Mali,AF,4.6,Mali has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Mali.,2024-08-13 08:21:03,https://www.travel-advisory.info/mali,16.3700359,-2.2900239,Not Recommended for Travel,Mali has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Mali.
Myanmar,AS,4.6,Myanmar has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Myanmar.,2024-08-13 08:21:03,https://www.travel-advisory.info/myanmar,17.1750495,95.9999652,Not Recommended for Travel,Myanmar has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Myanmar.
Mongolia,AS,2.8,Mongolia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Mongolia.,2024-08-13 08:21:03,https://www.travel-advisory.info/mongolia,43.9382593,-79.2235563,Travel with Caution,Mongolia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Mongolia.
Macao,AS,3.0,Macao has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Macao.,2024-08-13 08:21:03,https://www.travel-advisory.info/macao,22.1757605,113.5514142,Travel with Caution,Macao has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Macao.
Northern Mariana Islands,OC,0.0,Northern Mariana Islands has a current risk level of 0 (out of 5). We advise: Travelling Northern Mariana Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/northern-mariana-islands,15.1753648,145.7379338,Safe to Travel,Northern Mariana Islands has a current risk level of 0 (out of 5). We advise: Travelling Northern Mariana Islands is (relatively) safe.
Martinique,,4.0,Martinique has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Martinique.,2024-08-13 08:21:03,https://www.travel-advisory.info/martinique,14.6367927,-61.01582685063731,Not Recommended for Travel,Martinique has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Martinique.
Mauritania,AF,3.8,Mauritania has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Mauritania.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritania,20.2540382,-9.2399263,Travel with Caution,Mauritania has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Mauritania.
Montserrat,,2.5,Montserrat has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Montserrat.,2024-08-13 08:21:03,https://www.travel-advisory.info/montserrat,16.7417041,-62.1916844,Travel with Caution,Montserrat has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Montserrat.
Malta,EU,3.0,Malta has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malta.,2024-08-13 08:21:03,https://www.travel-advisory.info/malta,35.8885993,14.4476911,Travel with Caution - Preferred Continent,Malta has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malta.
Mauritius,AF,3.0,Mauritius has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mauritius.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritius,-20.2759451,57.5703566,Travel with Caution,Mauritius has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mauritius.
Maldives,AS,3.4,Maldives has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Maldives.,2024-08-13 08:21:03,https://www.travel-advisory.info/maldives,3.7203503,73.2244152,Travel with Caution,Maldives has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Maldives.
Malawi,AF,3.0,Malawi has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malawi.,2024-08-13 08:21:03,https://www.travel-advisory.info/malawi,-13.2687204,33.9301963,Travel with Caution,Malawi has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malawi.
Mexico,,3.6,Mexico has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Mexico.,2024-08-13 08:21:03,https://www.travel-advisory.info/mexico,19.4326296,-99.1331785,Travel with Caution,Mexico has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Mexico.
Malaysia,AS,2.8,Malaysia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Malaysia.,2024-08-13 08:21:03,https://www.travel-advisory.info/malaysia,4.5693754,102.2656823,Travel with Caution,Malaysia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Malaysia.
Mozambique,AF,3.0,Mozambique has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mozambique.,2024-08-13 08:21:03,https://www.travel-advisory.info/mozambique,-19.302233,34.9144977,Travel with Caution,Mozambique has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mozambique.
Namibia,AF,3.0,Namibia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Namibia.,2024-08-13 08:21:03,https://www.travel-advisory.info/namibia,-23.2335499,17.3231107,Travel with Caution,Namibia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Namibia.
New Caledonia,OC,4.0,New Caledonia has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to New Caledonia.,2024-08-13 08:21:03,https://www.travel-advisory.info/new-caledonia,-20.63784275,161.21176261225781,Not Recommended for Travel,New Caledonia has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to New Caledonia.
Niger,AF,4.7,Niger has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Niger.,2024-08-13 08:21:03,https://www.travel-advisory.info/niger,17.7356214,9.3238432,Not Recommended for Travel,Niger has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Niger.
Norfolk Island,OC,0.0,Norfolk Island has a current risk level of 0 (out of 5). We advise: Travelling Norfolk Island is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/norfolk-island,-29.0328038,167.9483137,Safe to Travel,Norfolk Island has a current risk level of 0 (out of 5). We advise: Travelling Norfolk Island is (relatively) safe.
Nigeria,AF,3.8,Nigeria has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Nigeria.,2024-08-13 08:21:03,https://www.travel-advisory.info/nigeria,9.6000359,7.9999721,Travel with Caution,Nigeria has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Nigeria.
Nicaragua,,3.6,Nicaragua has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Nicaragua.,2024-08-13 08:21:03,https://www.travel-advisory.info/nicaragua,12.6090157,-85.2936911,Travel with Caution,Nicaragua has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Nicaragua.
